Access to clean fuels and technologies for cooking (% of population),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",CO2 emissions (metric tons per capita),GDP (current US$),Current health expenditure per capita (current US$),"Immunization, HepB3 (% of one-year-old children)","Immunization, measles (% of children ages 12-23 months)","Hospital beds (per 1,000 people)","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)","Mortality rate, adult, male (per 1,000 male adults)","Mortality caused by road traffic injury (per 100,000 population)","Mortality rate, under-5 (per 1,000 live births)","Physicians (per 1,000 people)","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","Population, total",Prevalence of undernourishment (% of population),"Suicide mortality rate (per 100,000 population)","Unemployment, total (% of total labor force) (modeled ILO estimate)"
-1.3827672233109805,0.9555182672616013,-0.7808933109950176,-0.41881754930456955,-0.5109498545492438,0.42349288288603093,0.12396652804114865,-1.0070434685459388,0.3217061684701504,0.5482338594422883,1.393479708203999,1.3044989516426855,-1.0379186955174602,1.4409700328827852,0.38885225686263686,0.26315228651736566,-0.3530817386377443,-0.558554230986383
0.953169242487725,2.105447367782782,1.8229616813827878,-0.22727757339271168,0.11043386971025386,0.5743159749323499,0.6258275672958149,1.0670205235069692,0.04202675623303919,0.13760219927288028,-0.6878628193522225,-0.8371762325366148,1.1739245894469819,-1.2152782001922504,-1.178676259470064,-0.8277409138458963,0.9390364425624376,-0.43114368875693904
-1.5925353538317066,-1.3139839961521662,-0.809546476165957,-0.5896274115351081,-0.5197215185827092,-0.07925075726836567,-0.4495889453927556,-1.0395622538897893,-0.021536746548122463,0.197587613919473,0.8618324321434424,2.060824803398312,-1.0759135494923096,2.361915285818187,0.3593110127321279,0.19675009171264546,-0.5830349742750648,-1.2576357587453064
0.7226832719155689,-0.02253303189661895,-0.3169577723642033,0.26682353046198115,-0.161316297355051,0.6748647029632292,0.9126053040127671,0.8330438972524348,-0.6825971754722036,-0.8237018833560061,-1.1516402303837718,-0.8246956079201853,3.8288150109395778,-0.5961381611318036,0.04967802595334766,-0.8277409138458963,0.32582781419624973,-0.7647581348577202
0.953169242487725,0.6110095395799654,0.3431553583222647,-0.24970418577422104,0.629722567213078,0.6748647029632292,-0.01942234031732743,0.1905996014348991,-1.4834973105148406,-1.2512288535803493,-1.4909895555288077,-0.9020754805420481,0.5660069258493929,-0.7514974261246975,-1.2520457351153285,-0.8277409138458963,-0.5939851283530323,1.3844565380126388
-0.5670022712859336,0.07861629682358011,-0.6581533070076658,0.7895138852954982,-0.4743606568012309,0.3229441548551516,-0.01942234031732743,-0.7413411980535013,0.3217061684701504,-0.4960010146466076,-0.9027840586107454,-0.1906798774055673,-0.29488667875420804,-0.4899389749209068,1.2821218945921617,0.12086186907867932,-0.8896392884581587,-0.7429642263184731
0.7692984120312861,0.09923151091205132,0.01268304529521188,-1.0866649152520578,-0.3329234896298776,-0.7830918534845209,-0.7363666821097078,0.024039969185908422,-0.008824045991889953,-0.04293578185521289,-0.2806436291781792,-0.49021486819987503,-0.31398103138952776,-0.3750450033862519,-1.6517362538099192,-0.14474691014020194,1.4974943005387875,-0.022927017271812455
-1.6106634638767077,-0.9651517470769342,-0.7672683117461393,-1.2947149878483601,-0.5246893287636667,-2.944889506148426,-1.166533287185136,-0.8087581920590452,0.7285125862695849,0.9068166623199795,1.4161029965470011,1.6814138150588562,-1.0643793973928015,0.9325543634570533,-0.3582653626280986,1.7145145443919665,-0.0026768081427795626,-0.68445596416311
-1.543330483709561,-0.25467856699789915,-0.7064951092435537,1.1478103661284884,-0.4725226044956133,-1.9896765898550728,-3.102283010024563,-0.9673864132485601,-0.428343164347557,1.2847380714435315,0.39805502111189295,2.2605147972611843,-0.8391241916847664,1.7963397842055653,1.6246353150884811,-0.15423293796944765,-0.7363371313666118,-0.7228467722822451
-1.514843453638845,-0.7107674454233786,-0.8027489639854598,0.2738645715246634,-0.5198579970718376,-0.8333662174999605,-2.0985609315152303,-1.034803407254104,-0.5427574693536482,0.3629505649637926,0.8957673646579457,0.4982506014213405,-1.0503574869973216,0.26137574588323303,1.333259291041153,0.2726383143466114,-0.5830349742750648,-0.924188958094827
0.953169242487725,1.1997964573842732,0.6165192103372928,0.06744677748227974,-0.32105177944273167,0.8256877950095481,0.9126053040127671,1.709464819324505,0.2835680668014533,-0.14803076019004371,-0.35982513837868757,-0.7548041100681802,1.0422995596055398,-0.39859276170110763,-0.37844720794690206,-0.49572993982229485,0.45722966313186136,1.5973662598960516
0.953169242487725,-1.3563500833139872,2.2482297601074435,1.1547421070620616,-0.12793752542196865,0.7754134309941085,0.840910869833529,-0.29321647319312144,0.5123966768136353,-0.9905441089648996,0.7147810579139268,-0.6674397377531737,0.20844821076465025,1.986950082453746,0.5995424084856172,-0.2775512997496424,-0.5830349742750648,-0.41437914372674906
0.870297882282006,-1.2418713060919764,-0.48700031385234843,0.45042703807241086,-0.4238893785648683,0.7754134309941085,0.9126053040127671,-0.8285867197077345,0.3344188690263829,-0.5489889619708906,0.27362693522537956,-0.2381062509479993,-0.6617017932129254,0.14059821167196698,0.6640830595898031,-0.6285343294317355,-0.17787927339026202,0.14890956928763516
0.5491713614848449,-0.14262010090692612,-0.5526809531505702,0.8051300183026248,-0.3000952322429258,0.4737672469014706,0.4107442647581008,-0.7056498482858604,-1.2165305988339616,-0.41308684424912157,-0.05441074574815516,-0.48522261835330316,-0.035125942395544424,-0.27696996707051696,0.8288499552312126,0.026001590786221756,-0.7253869772886441,0.5445528320001192
0.7718881420377147,1.088474443204777,0.4822960059480552,0.22891218684893896,-0.4826643571482586,0.7754134309941085,0.9126053040127671,2.2963892377257102,1.643827026318313,1.3848384204901107,0.2396920027108763,-0.5975482399011686,0.950026342809477,-0.5947658204293704,0.874717688482033,-0.8277409138458963,2.515858629789778,0.0952630251910271
0.013097250154099797,-1.1861043483097615,-0.7478412050972034,-0.9238348217717816,-0.5094415337572351,0.17212106280883263,-0.01942234031732743,0.9361522410256193,1.1353190040690198,-0.03902983216223721,0.01345911928085222,0.1862349860106033,0.19420014052408183,0.27357673443163216,-0.20022507571062542,2.1983019636835,-0.7691875936005147,0.6449724567309574
-1.0072563723788162,-0.7348067825048856,-0.751695715385455,0.08146632260628671,-0.4939222164899414,0.22239542682427227,-0.9514499846474219,-1.0070434685459388,0.15644106123912999,1.052383927899048,0.5564180395129096,1.2221268291742509,-0.9422530810450718,1.8882512634415491,0.48765387103086044,-0.05937265967699009,-0.1340786570783914,-1.0262850373286843
