"Life expectancy at birth, total (years)"
60.047
73.7707317073171
60.786
77.833
80.771
70.788
72.417
55.569
51.707
64.392
73.6048780487805
75.763
71.269
74.295
68.1853658536585
67.688
58.06
67.196
63.038
81.4341463414634
67.79
69.497
64.776
53.235
52.976
67.49
79.3980487804878
58.319
80.1829268292683
55.149
79.2341463414634
80.3439024390244
71.116
77.924
70.655
81.6124390243903
60.57
71.822
68.402
70.445
66.67
75.6878048780488
60.306
66.787
58.61
76.792
78.0756097560976
73.006
47.426
73.775
68.811
61.682
74.2073170731707
75.094
75.6
80.5853658536585
78.101
80.1878048780488
49.297
73.305
77.007
60.549
81.4146341463415
76.912
73.24
73.399
63.246
50.453
77.687
75.4512195121951
68.638
71.5829268292683
58.894
77.017
66.743
77.038
48.286
70.024
75.274
71.373
63.731
76.007
74.580487804878
79.619512195122
78.8439024390244
71.771
63.264
59.822
78.81
67.384
60.721
68.564
71.6
71.97
76.012
80.0414634146342
70.72
63.898
74.202
73.628
76.1682926829268
60.154
70.413
78.394
53.161
67.649
79.3
71.394
77.0341463414634
81.4826829268293
79.348
69.037
78.3804878048781
53.946
78.5390243902439
58.772
72.475
75.827
74.19
63.242
73.703
58.363
66.766
72.948
68.5073170731707
65.802
71.9609756097561
72.454
72.8824390243903
73.906
54.633
60.98
74.9121951219512
61.834
75.1
78.0756097560976
82.3463414634146
73.577
70.2024390243902
60.946
77.8731707317073
79.044
69.549
75.1731707317073
56.582
73.926
60.259
78.2439024390244
78.716
77.483
73.679
78.7414634146342
78.774
45.975
70.441
73.155
79.0560975609756
72.814
45.61
55.019
73.8
65.31
59.377
54.869
77.297
60.98
80.7951219512195
79.4487804878049
71.95
61.683
72.5682926829268
74.4975609756098
77.563
80.5436585365854
79.473
75.006
51.787
74.6139024390244
74.872
65.988
80.4707317073171
67.439
82.219512195122
66.452
79.4317073170732
57.455
51.363
69.823
62.603
71.3170731707317
49.024
67.313
70.9512195121951
65.124
70.297
79.9921951219512
70.483
67.492
67.423
72.248
56.726
78.505
77.218
78.5463414634146
75.11
68.908
83.2439024390244
76.66
74.615
78.1756097560976
68.201
78.6365853658537
72.249
64.93
52.355
64.736
66.7275609756098
61.292
68.914
77.936
63.013
67.659
58.716
77.0658536585366
53.05
74.9951219512195
74.827
71.439
45.595
74.25
75.267
76.4487804878049
69.128
79.6487804878049
64.329
67.021
63.854
80.5878048780488
66.028
57.762
58.088
68.039
71.117
74.227
72.037
